field_1,Name,Hanzi,Polity,location,Latitude,Longitude,field_8,field_9,field_10
,Chongqiu,重丘 (2),Cao,"SW of Chaping Co 茬平縣, Shandong",36.5806799,116.25522,Xiang 17.2,,
,Chou,鯈,A place on the Jin/Zheng border,Unk,40.7011879,-99.1014292,Wen 17.4,,
,Chou,犫,Chu,"SE of Lushan Co 魯山縣, Henan",33.7385399,112.90802,"Zhao 1.13, 13.2",,
,Chu .,楚,"Dom,",CN Mi 羋.,50,50,Huan 2.4 et passim. See map 1.,,
,Chu .,鉏,,"E of Hua Co 滑縣, Henan.",35.5753399,114.5193,Xiang 4.7.,,
,Chù . .,鄐,Jin,"Near Wen Co 溫縣, Henan.",34.9402299,113.08057,Xiang 26.10; Zhao 14.7.,,
,Chu,廚,Song,Unk,40.7011879,-99.1014292,Zhao 21.6,,
,Chui,垂 (1),Qi,"Pingyin Co 平隱縣, Shandong",36.2893699,116.45599,Xuan 8.3(C),,
,Chui,垂 (2),Wei,"P N of Cao Co 曹縣, Shandong, or SE of Juancheng Co 鄄城縣, Shandong",35.54971,115.59926,Yin 8.1(C); Huan 1.2(C); Zhuang 4.3(C),,
,Chuibi,炊鼻,Lu,"P near Ningyang Co 寧陽縣, Shandong",35.7605999,116.80112,Zhao 26.4,,
,Chuiji,垂棘,Jin,"N of Lucheng Co 潞城縣, Shanxi",36.3335642,113.2922553,Xi 2.2; Cheng 5.5,,
,Chuijia,垂葭,Qi,"SW of Juye Co 巨野縣, Shandong",35.3963299,116.09495,"Ding 13.1(C), 13.1",,
,Chuilong,垂隴,Zheng,"NE of Xingyang Co 滎陽縣, Henan",34.7901604,113.410389,"Wen 2.4(C), 2.4; Xiang 27.5",,
,Chunliu,純留,Jin,"S of Tunliu Co 屯留縣, Shanxi",36.3155299,112.89221,Xiang 18.2,,
,Chunyu,淳于,Cap of Zhou 州,"NE of Anqiu Co 安丘縣, Shandong",36.36104,119.16773,Huan 5.6; Zhao 1.1,,
,Chuqiu,楚丘 (1),Wei,"E of Hua Co 滑縣, Henan",35.5753399,114.5193,Min 2.9; Xi 2.1(C),,
,Chuqiu,楚丘 (2),Between Song and Cao,"SW of Chengwu Co 成武縣, Shandong",34.9757025,115.9889939,"Yin 7.6(C), 7.5; Xiang 10.2",,
,Churen,鉏任,Xu,"Xuchang Co 許昌縣, Henan",34.1259599,113.82272,Cheng 4.5,,
,Chushi,褚氏,Zhou,"P near Luoyang 洛陽, Henan",34.6181299,112.45402,Zhao 26.7,,
,Cuanhan,欑函,Wei,Unk,40.7011879,-99.1014292,Xuan 11.4,,
,Cuanmao,櫕茅,"Zhou, then Jin","Xiuwu Co 修武縣, Henan",35.2236099,113.44776,Yin 11.5; Xi 25.2,,
,Cui,崔,Qi,"NE of Jiyang Co 濟陽縣, Shandong",36.9784699,117.17333,Xiang 27.7,,
,Cui . . .,趡,Lu,Unk,40.7011879,-99.1014292,Huan 17.2.,,
,Dabie,大別 (mountain),Chu,"Modern Anyang Mountain 安陽山, SW of Huoqiu Co 霍丘縣, Anhui",32.33721,116.27533,Ding 4.3,,
,Dacheng,大城,Cao,"In Heze Co 菏澤縣, Shandong",35.15129,115.50733,Ai 7.5,,
,Dai,戴,Dom,"E of Minquan Co 民權縣, Henan",34.6762399,115.40713,"Yin 10.4(C), 10.4",,
,Daji,大棘,Song,"S of Sui Co 睢縣, Henan",34.429664,115.080638,"Xuan 2.1(C), 2.1, 2.2",,
,Dalin . .,大林,Chu,"NW of Jingmen Co 荆門縣, Hubei.",30.95195,112.26979,Wen 16.4.,,
,Daling,大陵,Zheng,"N of Linying Co 臨潁縣, Henan",33.8296951,113.9674515,Zhuang 14.2,,
,Dalu,大陸,Jin,"NW of Huojia Co 獲嘉縣, Henan",35.2596199,113.65716,Ding 1.1,,
,Dalu,大鹵,Jin,"SW of Taiyuan City 太原市, Shanxi",37.8705899,112.55067,Zhao 1.6(C),,
,Daming,大冥,Chen,"In Xiangcheng Co 項城縣, Henan",33.43374,114.81779,Ai 6.4,,
,Dan,聃,Dom,"Region of modern-day Kaifeng City 開封市, Henan",34.7569999,114.44136,Xi 24.2,,
,Dao,道,Dom,"N of Queshan Co 確山縣, Henan",32.762655,114.02833,Xi 5.7; Zhao 13.4,,
,Dapang. .,大厖,Ju,"NW of Ju Co 莒縣, Shandong.",35.5799699,118.83687,Zhao 1.11.,,
,Dasui,大隧 (2),Chu,"In Gaotang Co 高唐縣, Shandong",36.91778,116.2323,Xiang 19.12,,
,Daxia,大夏,Jin,"Ji Co 吉縣, Xi Co 隰縣, Yicheng Co 翼城縣, Shanxi",35.7382299,111.71836,Zhao 1.12,,
,Daye,大野,Lu,"N of Juye Co 巨野縣, Shandong",35.3963299,116.09495,Ai 14.1,,
,Deng,鄧 (1),Lu,Unk,40.7011879,-99.1014292,Yin 10.1,,
,Deng,鄧 (2),Cai,"SE of Luohe City 漯河市, Henan",33.5814899,114.01681,"Huan 2.6(C), 2.4, Zhao 13.2",,
,Deng,鄧 (3),"Dom, CN Man 曼; later Chu","In Deng Co 鄧縣, Henan",32.6877699,112.08736,Huan 9.2; Zhuang 6.3; Cheng 9.4; Zhao 9.3. See map 4,,
,Dianling,顛軨,Yu,"Modern Yuban 虞坂, NE of Pinglu Co 平陸縣, Shanxi",34.8369158,111.201448,Xi 2.2,,
,Diqiu,帝丘 (Emperor’s Hillock),Relocated cap of Wei 衛 dom,"SW of Puyang Co 濮陽縣, Henan",35.5764999,115.26089,"Xi 31.6(C), 31.5; Zhao 17.5.",,
,Diquan . .,翟泉 / 狄泉,Zhou,"In Luoyang City 洛陽市, Henan.",34.6181299,112.45402,"Xi 29.3(C), 29.2",,
,Dong,董,Jin,"E of Ronghe Town 榮河鎮, Wanrong Co 萬榮縣, Shanxi",35.355511,110.552426,Wen 6.1,,
,Dong Marsh,董澤,Jin,"NE of Wenxi Co 聞喜縣, Shanxi",35.406317,111.341279,Xuan 12.2,,
,Dongshan . .,東山,Jin,"Unk, perhaps just “eastern mountains.”",40.7011879,-99.1014292,Min 2.7.,,
,Dongyang,東陽 (1),Lu,"NW of Fei Co 費縣, Shandong",35.278287,117.979969,Ai 8.2,,
,Dongyang,東陽 (2),Qi,"E of Linqu Co 臨朐縣, Shandong",36.5123099,118.543,"Xiang 2.4, 6.7",,
