field_1,Name,Hanzi,Polity,location,Latitude,Longitude,field_8,field_9,field_10
,Gengzong,庚宗,Lu,"E of Sishui Co 泗水縣, Shandong",35.55034,117.24158,Zhao 4.8; Ai 8.2,,
,Genmou,根牟,Lu,"S of Yishui Co 沂水縣, Shandong",35.7903399,118.62782,"Xuan 9.5(C), 9.2; Zhao 8.4",,
,Gong,鞏,Zhou,"In Gong Co 鞏縣, Henan",34.7479799,113.02206,"Zhao 25.7, 26.9",,
,Gong,共,"Dom, later Wei","P, Hui Co 輝縣, Henan",35.4621199,113.8054,Yin 1.4; Min 2.5,,
,Gongchi,共池,Jin,"In Pinglu Co 平陸縣, Shanxi",34.8369158,111.201448,Huan 10.4,,
,Gongxu ravine,公壻之谿,Chu,"P, E of Xiangfan City 襄樊市, Hubei",32.0871799,112.21194,Ding 5.5,,
,Goudou Knoll,句瀆之丘 (2),Qi,"P, in Linzi 臨淄, Shandong",36.85287,118.302,"Xiang 19.5, 21.3, 28.11; Ai 6.5",,
,Goushi,句澨,"Yong, later Chu","Covered by a reservoir in an area once governed by Jun Co 均縣, Hubei",30.5453899,114.34234,Wen 16.4,,
,Gouyi .,句繹,"Zhu, later Lu.","SE of Zou Co 鄒縣, Shandong.",35.2910599,117.13367,"Ai 2.1(C), 14.1(C), 14.2.",,
,Gu,姑 (river),Qi,"Modern Dagu River 大姑河, Shandong",36.1858333,120.1177778,Zhao 20.6,,
,Gu,鼓,Dom,"Jin Co 晉縣, Hebei",38.0359899,114.46979,"Zhao 15.5, 21.8, 22.4",,
,Gu,穀 (1),Dom,"P, NW of Gucheng Co 穀城縣, Hubei",32.2633799,111.65304,"Huan 7.2(C), 7.1",,
,Gu,穀 (2),Qi,"Dong’e Town 東阿鎮, Shandong",36.172849,116.28539,"Zhuang 7.5(C), 23.6(C); Xi 26.7(C), 26.7, 27.4, 28.3; Wen 17.3(C), 17.5(C), 17.3, 17.7; Xuan 14.6(C), 14.4; Cheng 5.3(C), 17.9, 18.2; Xiang 19.8(C), 19.6; Zhao 11.10; Ai 24.1, 27.3. See map 2",,
,Guan,管,Zheng,"Modern Zhengzhou City 鄭州市, Henan",34.7472499,113.62493,Xuan 12.2,,
,Guan,菅,Song,"N of Dan Co 單縣, Shandong",34.7943799,116.08724,"Yin 10.3(C), 10.3",,
,Guan,觀,"Dom, CN Yao 姚, later Wei","W of former Guancheng Co 觀城縣, Shandong",35.92774,115.39532,Zhao 1.2.,,
,Guan. .,貫,Song,"S of Cao Co 曹縣, Shandong.",36.6682599,117.02076,"Xi 2.4(C), 2.3",,
,Guanshi,冠氏,Jin,"N of Guan Co 冠縣 and near Guantao 館陶, Shandong",36.535537,115.299524,Ai 15.4.,,
,Guayan . .,瓜衍,Jin,"N of Xiaoyi Co 孝義縣, Shanxi.",37.1453399,111.77903,Xuan 15.6,,
,Guazhou,瓜州,Wei,"P, Modern Qinling Mountains 秦嶺, Shaanxi",34.2648599,108.95424,Xiang 14.1; Zhao 9.3.,,
,Gucheng .,穀城,Zhou,". NE of Luoyang City 洛陽市, Henan.",34.6181299,112.45402,Ding 8.2,,
,Gufen,姑棼,Qi,"NE of Boxing Co 博興縣, Shandong",37.1529899,118.11096,Zhuang 8.3,,
,Gui,龜,Song,"In Sui Co 睢縣, Henan",34.429664,115.080638,"Huan 12.6(C), 12.2",,
,Guiyan,鬼閻,Song,"NE of Xihua Co 西華縣, Henan",33.7675399,114.52974,Zhao 20.5,,
,Guiyin,龜陰,Lu,"SW of Xintai Co 新泰縣, Shandong",35.77757,117.80172,"Ding 10.5(C), 10.3",,
,Gumie,姑蔑 (1),Lu,"Also known as “Mie” 蔑 NE of Sishui Co 泗水縣, Shandong.",35.6647099,117.25216,Ding 12.2,,
,Gumie  (2).,姑蔑,,"Yue, near Quzhou 衢州, Zhejiang.",28.9359199,118.87419,Ai 13.3.,,
,Guo,虢 (1),Yan,"NW of Renqiu Co 任丘縣, Hebei",38.7116399,116.09954,Zhao 7.1,,
,Guo,虢 (2),"Dom, CN Ji 姬","In Pinglu Co 平陸縣, Shanxi",34.8369158,111.201448,"Zhuang 26.3, 27.5; Xi 2.2, 5.8.",,
,Guo River . .,漷水,Zhu,"Modern Nansha River 南沙河, Hebei.",38.0359899,114.46979,"Xiang 19.3(C), 19.1; Ai 2.1",,
,Guqiu,穀丘,Song,"Same as Goudou Mound 句瀆之丘 SE of Shangqiu Co 商丘縣, Shandong.",34.557344,115.621216,Huan 12.3(C),,
,Guyou . .,姑蕕,Zhou,Unk.,40.7011879,-99.1014292,Ding 6.8.,,
,Han .,韓,Dom.,"Originally SE of Gu’an Co 固安縣, Hebei; later moved to Hancheng Co 韓城縣, Shaanxi.",35.4767129,110.4428557,Xi 24.2; Xiang 29.11.,,
,Handan,邯鄲,"Wei, later incorporated into Jin.","Handan City 邯鄲市,",36.6255599,114.53918,,,
,"Han ). . . Huan 8.2; Zhuang 4.1; Xi 4.1; Wen 10.3; Cheng 7.5; Xiang 28.8, 28.12; Zhao 13.2, 17.5, 29.4; Ding 3.4, 4.3; Ai 6.4.  . Modern Hebei. Ding 13.2; Ai 1.3, 3.5, 4.3. See map 3.",漢 (river,Chu,Unk,40.7011879,-99.1014292,,,
,Hanling,函陵,Zheng,"N of Xinzheng Co 新鄭縣, Henan",34.39603,113.73097,Xi 30.3,,
,Hanrui,漢汭,Chu,"P, N of Zhongxiang Co 鍾祥縣, Hubei",31.1679699,112.58817,Zhuang 4.1,,
,Hanshi,函氏,Xu,"N of Ye Co 葉縣, Henan",33.6268299,113.35737,Xiang 16.2,,
,Hanyuan. .,韓原,Jin,"In Ruicheng Co 芮城縣, Shanxi.",34.6936499,110.69442,"Xi 15.12(C), 15.4; Cheng 13.3, 16.5.",,
,Hao,鄗,Jin,"Gaoyi Co 高邑縣 and Baixiang Co 柏鄉縣, Hebei",37.605111,114.597307,Ai 4.3,,
,He Marsh .,河澤,,"NE of Yanggu Co 陽穀縣, Shandong.",36.1144699,115.7913099,Xiang 14.4.,,
,Heirang,黑壤,Jin,"Possibly same as Huangfu 黃父 Mountain Modern Wu? ling Mountains 烏嶺, NE of Yicheng Co 翼城縣, Shanxi.",35.7382299,111.71836,"Xuan 7.5(C), 7.4",,
,Heng,橫,Song,"SW of Shangqiu Co 商丘縣, Henan",34.557344,115.621216,Zhao 21.4,,
,Hengshan,衡山 (mountain),Wu,"Modern Heng Mountain 衡山, Dangtu Co 當涂縣, Anhui",31.3000711,118.6982059,Xiang 3.1,,
,Hengyong,衡雍,Zheng,"W of Yuanyang Co 原陽縣, Henan",35.052761,113.967907,"Xi 28.3; Wen 8.4(C), 8.4, Xuan 12.2; Xiang 8.8",,
,Hequ,河曲 (the bend of the Yellow River),Jin,"S of modern Yellow River黃河, flowing east, Shanxi",37.8734299,112.56272,"Wen 12.7(C), 12.6; Cheng 13.3. See map 3",,
,Heyang,河陽,Jin,"W of Meng Co 孟縣, Henan",34.9073499,112.79134,"Xi 28.16(C), 28.9",,
,Hong,紅,Lu,Unk,40.7011879,-99.1014292,"Zhao 8.6(C), 8.4",,
,Hongkou,鴻口,Song,"NW of Yucheng Co 虞城縣, Henan",34.406742,115.864501,Zhao 21.6,,
,Hou,郈,Lu,"SE of Dongping Co 東平縣, Shandong",35.92246,116.43753,"Zhao 25.10; Ding 10.6(C), 10.5, 10.7, 12.3(C), 12.2",,
,Hou,鄇,Zhou,"SW of Wuzhi Co 武陟縣, Henan",35.0828107,113.4132662,Cheng 11.7,,
,Houli,侯麗,Qin,"S bank of Jing River 涇水, a tributary of Wei River 渭水",34.90183312,108.4045632,Cheng 13.3.,,
,Hu  .,胡 (1).,"Dom, CN Gui 歸, later Chu","Modern Fuyang City 阜陽市, Anhui.",32.8896299,115.81495,ng 15.1(C) et passim.,,
,DiHu,胡 (2).,"Dom, CN Ji 姬, later Qi.","E of Luohe City 漯河市, Henan.",33.5814899,114.01681,"Ai 6.6, 8.4",,
,Hu,扈 (1),Ancient dom,"N of Hu Co 戶縣, Shaanxi",34.1084699,108.60494,Zhao 1.2,,
,Hu,扈 (2),Qi,"P, in Fan Co 范縣, Shandong",36.6682599,117.02076,Zhuang 23.1(C),,
,Hu,扈 (3),Zheng,"W of Yuanyang Co 原陽縣, Henan",35.052761,113.967907,"Wen 7.8(C), 7.6, 8.4, 15.10(C), 15.9, 17.4(C), 17.4; Xuan 1.8, 9.7(C), 9.9(C), 9.4; Cheng 16.14(C), 16.11; Zhao 27.5(C), 27.4.",,
,Hua .,滑 (1).,Zheng,"NW of Sui Co 睢縣, Henan.",34.429714,115.081093,"Zhuang 3.5(C), 3.4",,
,Hua,滑 (2),"Dom, CN Ji 姬, taken by Zheng, then Jin, then Zhou","Also known as Bihua 費滑 Goushi Town 緱氏鎮, Yanshi Co 偃師縣, Henan.",34.61369,112.78659,"Xi 20.4(C), 20.2, 24.2, 33.1(C), 33.1; Cheng 17.1; Xiang 29.11; Zhao 26.7, 26.9; Ding 6.5.",,
,Huai  (river).,淮,,Modern Huai River 淮河.,32.7952408,116.9827042,Huan 8.2; Zhao 12.4; Ding 4.3; Ai 9.5,,
,Huai,懷,"Zhou, taken by Zheng, then Jin","W of Wushe Co 武涉縣, Henan",34.7657099,113.75322,Yin 11.5; Xuan 6.3.,,
,Huaitui . .,壞隤,Lu,"In Qufu Co 曲阜縣, Shandong.",35.53986,117.04719,"Cheng 16.5, 16.6; Ding 1.2",,
,Huan,讙,"Lu, taken and then returned by Qi","N of Ningyang Co 寧陽縣, Shandong",35.7605999,116.80112,"Huan 3.6(C), 3.7; Ding 8.10, 10.5(C), 10.3; Ai 8.3(C), 8.7(C), 8.3, 8.7, 15.4",,
,Huan (river).,洹,,"Modern Anyang River 安陽河, Henan.",36.097524,114.3930629,Cheng 17.8.,,
,Huang,皇,Zhou,"SW of Gong Co 鞏縣, Henan",34.7479799,113.02206,"Zhao 22.7(C), 22.5",,
,Huang  (1).,黃,"Dom, CN Ying 嬴.","In Huangchuan Co 潢川縣, Henan.",32.111142,115.103443,Huan 8.2.,,
,Huang,黃 (2),Song,"E of Minquan Co 民權縣, Henan",34.6762399,115.40713,Yin 1.8,,
,Huang,黃 (3),Qi,"NE of Zichuan District 淄川區, Zibo City 淄博市, Shandong",36.6434999,117.96673,"Huan 17.1(C), 17.1; Xuan 8.2(C); Ding 12.7(C), 12.9(C)",,
,Huangchi,黃池.,,"S of Fengqiu Co 封丘縣, Henan.",35.0411899,114.41861,"Ai 13.3(C), 13.2, 20.3.",,
,Huangfu,黃父 (mountain),Jin,"Possibly same as Heirang 黑壤 Modern Wu?ling Mountains 烏嶺, NE of Yicheng Co 翼城縣, Shandong.",36.6682599,117.02076,"Wen 17.4; Xuan 7.4; Zhao 25.2(C), 25.3; Ding 4.2.",,
,"Huanggu . , .",荒谷,Chu,"outside cap. W of Jinan Wall 紀南城, N of Jiangling Co 江陵縣, Hubei",30.0418399,112.4247,Huan 13.1,,
,Huangpu,荒浦,Shu 舒,"On Huangpi River 黃陂河, SE of Shucheng Co 舒城縣, Anhui",31.4834699,116.95845,Xiang 24.9.,,
,Huangya . .,黃崖,Zheng,"S of Xinzheng Co 新鄭縣, Henan.",34.39603,113.73097,Xiang 28.12,,
,Huanyuan,轘轅 (mountain),Zhou,"NW of Dengfeng Co 登封縣, Henan",34.45488,113.01869,Xiang 21.5.,,
,Huarui (river). . .,滑汭,Chu,Unk,40.7011879,-99.1014292,Xuan 8.3,,
,Huchu,狐、厨 (disputed whether this is two places or one),Jin,"P, near Former Xiangling Town 襄陵鎮, Shanxi",35.97121,111.36472,Xi 16.3.,,
,Hui . .,虺,Chu,"In Lujiang Co 廬江縣, Anhui.",31.3247199,117.09296,Cheng 17.11,,
,Hukou,壺口,Jin,"Modern Huguan 壺關, SE of Changzhi Co 長治縣, Shanxi",36.1156699,113.20733,Ai 4.3.,,
,Hulao . .,虎牢,Zheng,"Probably to be identified with Zhi 制. Modern Sishui Community 汜水公社, Rongyang Co 榮陽縣, Henan.",34.7876199,113.38349,"Zhuang 21.1; Xi 4.2; Wen 8.1; Xiang 2.9(C), 2.5, 2.7, 9.5, 10.9(C), 10.10. See map 3.",,
,Huo,霍 (1).,"Dom, CN Ji 姬, later Jin.","SW of Huo Co 霍縣, Shanxi.",36.5687698,111.7550647,Min 1.6; Xi 24.2; Xiang 29.11.,,
,Huo,霍 (2).,,"Unclaimed, later Chu. In Linru Co 臨汝縣, Henan.",34.259004,112.603537,Ai 4.2,,
,Huoren,霍人,Jin,"E of Fanshi Co 繁峙縣, Shanxi",39.1890399,113.26547,Xiang 10.2,,
,Huqiu,壺丘,Chen,"SE of Xincai Co 新蔡縣, Henan",32.74804,114.97608,Wen 9.7,,
,Huqiu,瓠丘,Jin,"SE of Yuanqu Co 垣曲縣, Shanxi",35.29352,111.64815,Xiang 1.1,,
,Hurang,狐壤,Zheng,"N of Xuchang City 許昌市, Henan",34.1259599,113.82272,Yin 11.8,,
,Huren,狐人,Zhou,"In Linying Co 臨潁縣, Henan",33.8296951,113.9674515,Ding 6.5,,
,Hutai . Same place as Taishang 駘上. .,狐駘,Zhu,"S of Teng Co 滕縣, Shandong.",35.084021,117.164388,,,
,Huyou,戶牖,,"NE of Lankao Co 蘭考縣, Henan.",34.9677799,115.028,Xiang 4.8.. Ai 13.4.,,
,Ji,紀,"Dom, CN Jiang 姜","S of Shouguang Co 壽廣縣, Shandong",36.6845599,118.4796599,Yin 1.6 ? et passim. See map 2,,
,Ji,極,Dom,"Neighboring Lu, also considered part of Lu S of Jinxiang Co 金鄉縣, Shandong.",35.07012,116.31894,"Yin 2.3(C), 2.3",,
,Ji,棘 (1),Chu,"S of Yongcheng Co 永城縣, Henan",33.9291499,116.44946,"Xiang 26.10; Zhao 4.7, 5.8",,
,Ji,棘 (2),Lu,"S of Feicheng Co 肥城縣, Shandong",36.13762,116.57356,"Cheng 3.9(C), 3.5",,
,Ji,棘 (3),Qi,"NW of Linzi District 臨淄區, Zibo City 淄博市, Shandong",36.7993999,118.38912,Zhao 10.2.,,
,Ji . .,冀 (1),,"Dom NE of Hejin Co 河津縣, Shanxi.",35.5964299,110.71186,"Xi 2.2, 25.4, 33.6",,
,Ji 冀 / Jifang 冀方 (2). .,,Jin,N of Hebei and Shanxi.,38.0359899,114.46979,Zhao 4.1; Ai 6.4.,,
,Ji,箕,Jin,"NE of Bo Co 薄縣, Shanxi",37.8734299,112.56272,"Xi 33.8(C), 33.6; Wen 2.1; Cheng 13.3, 16.5; Zhao 23.2, 24.2.",,
,Ji . . .,蔇,Lu,Unk,40.7011879,-99.1014292,"Zhuang 9.2(C), 9.2",,
,Ji Marsh,雞澤,Jin,"NE of Handan City 邯鄲市, Hebei",36.6255599,114.53918,"Xiang 3.5(C), 3.5, 3.9, 5.5, 30.10",,
,"Ji River, west . .",濟西,Lu,West bank of the Ji River 濟水.,31.9465703,35.3027226,"Zhuang 18.2(C), 18.3; Xi 31.1(C), 31.1; Xuan 1.8(C), 1.7, 10.3(C), 10.1.",,
,Jia  (1). .,郟,Zhou,"Modern Luoyang City 洛陽市, Henan.",34.6181299,112.45402,"Huan 7.3; Xiang 24.11, 25.16, 26.14.",,
,Jia,郟 (2),"Zheng, then Chu","Area formerly governed by Jia Co 郟縣, Henan",33.9717999,113.21262,"Zhao 1.13, 19.1.",,
,Jia . . .,駕,Chu,Unk,40.7011879,-99.1014292,Cheng 17.11; Xiang 3.1,,
,Jiagu,夾谷,Qi,"Jiawu Co 莢蕪縣, Shandong",36.6682599,117.02076,"Ding 10.2(C), 10.3(C), 10.1. See map 2",,
,Jian,餞,Zhou,Unk,40.7011879,-99.1014292,Zhao 22.5,,
,Jiancheng,簡城,"Zhou, near Wangcheng 王城",Unk,40.7011879,-99.1014292,Ding 8.2,,
,Jiang,江,Dom,"SW of Xi Co 息縣, Henan",32.3428199,114.74024,"Xi 2.3, 5.7; Wen 3.4(C), 3.7(C), 3.6, 4.4(C), 4.6; Xuan 3.6",,
,Jiang,絳 (2),Cap of Jin 晉,"Modern Houma City 侯馬市, Shanxi",35.613861,111.364316,"Xiang 23.3; Zhao 1.8, 9.5; Ding 13.1, 13.2, 14.6. See map 3.",,
,Jiantu,踐土,Zheng,"SW of Yuanyang Co 原陽縣, Henan",35.052761,113.967907,"Xi 28.8(C), 28.3, 29.2; Xiang 20.4; Zhao 4.3, 25.3; Ding 1.1, 4.1. See map 3.",,
,Jiao . .,郊 (1),Zhou,"Near Gong Co 鞏縣, Henan.",34.7479799,113.02206,"Zhao 12.8, 22.5, 23.4(C), 23.1, 26.9",,
,Jiao,郊 (2),Jin,"Possibly same as Hao 鄗 In Wenxi Co 聞喜縣, Shanxi.",35.406317,111.341279,Wen 3.4,,
,Jiao,郊 (3),Lu,Unk,40.7011879,-99.1014292,"Ai 11.1, 11.3",,
,Jiao,郊 (4),Cao,"In Heze Co 菏澤縣, Shandong",35.15129,115.50733,Ding 12.1,,
,Jiao,焦 (1),"Dom, later Jin","Modern Sanmenxia City 三門峽市, Henan",34.7727068,111.2000526,Xi 30.3; Xuan 2.2; Xiang 29.11; Zhao 22.5.,,
,"Jiao ,",焦 (2).,Chen later Chu.,"Modern Bo Co 亳縣, Anhui.",31.8615699,117.28565,Xi 23.3; Xiang 1.2,,
,Jiao,絞 (1),"Dom, later Chu","NW of Yun Co 鄖縣, Hubei",32.8348799,110.81197,"Huan 11.2, 12.3, 12.4",,
,Jiao,絞 (2),Zhu,"N of Teng Co 滕縣, Shandong",35.084021,117.164388,Ai 2.1,,
,Jiaogang,交剛,Jin,"Modern Xi Co 隰縣, Shanxi",36.6934399,110.94049,"Cheng 12.3(C), 12.3",,
,Jiaoying,郊郢,Chu,"Modern Zhongxiang Co 鍾祥縣, Hubei",31.1679699,112.58817,Huan 11.2,,
,Jie,解,Zhou,"S of Luoyang City 洛陽市, Henan",34.6181299,112.45402,Zhao 22.5,,
,Jie,介,Dom,"S of Shandong, N of Xiao Co 蕭縣, Anhui",34.2940499,116.93133,Xi 30.5(C),,
,Jiegen  . .,介根.,Qi,Unk,40.7011879,-99.1014292,Xiang 24.6.,,
,Jifu,雞父,Chu,"SE of Gushi Co 固始縣, Henan",32.01118,115.64366,"Zhao 23.7(C), 23.5",,
,Jiling,踖陵,"Huang, later Chu","SW of Huangchuan Co 潢川縣, Henan",32.111142,115.103443,Zhuang 19.1.,,
,Jima . .,羈馬,Jin,"S of Yongji Co 永濟縣, Shanxi.",34.8671599,110.44773,Wen 12.6; Cheng 13. 3,,
,Jin,津,Chu,"Near Jiangjincheng 江津成, S of Jiangling Co 江陵縣, Hubei",30.04166,112.42398,Zhuang 19.1.,,
,Jin side of the Yellow River . .,河內,Jin,"Ji Co, 汲縣, Henan.",35.3984699,114.06459,Ding 13.1,,
,Jing,京 (1),Zheng,"SE of Xingyang Co 滎陽縣, Henan",34.7901604,113.410389,Yin 1.4,,
,Jing,京 (2),Zhou,"SW of Luonan City 洛南市, Shaanxi",34.0908202,110.1484195,Zhao 22.5,,
,Jing,荊,Chu,Unk,40.7011879,-99.1014292,"Zhuang 10.5(C), 14.3(C), 16.3(C), 28.3(C); Zhao 13.5",,
,Jing,涇 (river),Qin,Unk,40.7011879,-99.1014292,Cheng 13.3; Xiang 14.3,,
,Jingbo.,景亳,,"N of Shangqiu City 商丘市, Henan.",34.4142699,115.65635,Zhao 4.3.,,
,Jingchu,京楚,Zhou,"Near Luoyang City 洛陽市, Henan",34.6181299,112.45402,Zhao 22.5,,
,Jingshan,荊山 (mountain),Chu,"W of Nanzhang Co 南漳縣, Hubei",31.7747099,111.83902,"Zhao 4.1, 12.11.",,
,Jingzi . .,京茲,Qi,"SE of Pingyin Co 平陰縣, Shandong.",36.27467,116.48559,Xiang 18.3,,
,Jinxiang,祲祥,Lu,"In Qufu Co 曲阜縣, Shandong",35.53986,117.04719,"Zhao 11.7(C), 11.4",,
,Jinyang,晉陽,Jin,"SW of Taiyuan City 太原市, Shanxi",37.8705899,112.55067,"Ding 13.5(C), 13.2",,
,Jinyin,堇陰,Jin,"E of Linyi Co 臨猗縣, Shanxi",35.1447099,110.77408,"Wen 7.4, 8.7",,
,Jipu,棘蒲,Jin,"Zhao Co 趙縣, Hebei",37.7563099,114.77616,Ai 1.5,,
,Jiquan,谿泉,Zhou,"SE of Luoyang City 洛陽市, Henan",34.6181299,112.45402,Zhao 22.5,,
,Jisui,濟隧,Zheng,"A tributary of a former course of the Yellow River W of Yuanyang Co 原陽縣, Henan",35.052761,113.967907,Xiang 11.3,,
,Jiucui,臼衰,Jin,"NW of Former Jie Co 解縣, Shanxi",37.8734299,112.56272,Xi 24.1,,
,Jiuxu,舊許,"Xu, old territory",Unk,40.7011879,-99.1014292,Xiang 11.3; Zhao 12.11,,
,Jiuzi,鳩茲,Wu,"SE of Wuhu Co 蕪湖縣, Anhui",31.2354799,118.63601,Xiang 3.1,,
,Jiwei,棘圍,Chu,Unk,40.7011879,-99.1014292,Zhao 13.2,,
,Jixia,棘下,"Lu, within cap walls",Unk,40.7011879,-99.1014292,Ding 8.10,,
,Jizhang,紀鄣 / Ji 紀 / Jipeng 紀彭,Ju,"N of Ganyu Co 贛榆縣, Jiangsu",34.8423299,119.10629,See also Zhang 鄣. Zhao 19.7,,
,Ju,莒 (1),Dom,"First cap Jiegen 介根, SW of Jiao Co 膠線, Shandong Later cap Ju 莒, modern Ju Co 莒縣, Shandong.",35.652263,118.840515,Yin 2.2(C) et passim. See map 2,,
,Ju,莒 (2),Qi,Unk,40.7011879,-99.1014292,"Zhao 3.10, 10.2",,
,Ju,莒 (3),Zhou,Unk,40.7011879,-99.1014292,Zhao 26.9,,
,Ju,郹,Cai,"In Shangcai Co 上蔡縣, Henan",33.26913,114.26963,Zhao 23.7,,
,Ju,聚,Jin,"SE of Jiang Co 絳縣, Shanxi",35.4914599,111.56878,Zhuang 25.4,,
,Ju Dam,湨梁,Jin,"W of Jiyuan Co 濟源縣, Henan",35.0745099,112.60383,"Xiang 16.2(C), 16.1, 18.3, 22.2",,
,Juan,鄄 (1),Zhou,Unk,40.7011879,-99.1014292,Cheng 11.5,,
,Juan,鄄 (2),Wei,"NW of Juancheng Co 鄄城縣, Shandong",35.54971,115.59926,"Zhuang 14.4(C), 14.4, 15.1(C), 19.3(C); Xiang 14.4; Zhao 20.4; Ai 17.5, 25.1",,
,Juanchu,卷楚,Jin,"SW of Jiyuan Co 濟源縣, Henan",35.0745099,112.60383,Xuan 17.1,,
,Juemo,厥貉,Que,"In Xiangcheng Co 項城縣, Henan",33.43374,114.81779,"Wen 10.7(C), 10.5, 10.6",,
,Jueyin . .,厥憖,Wei,"In Xinxiang Co 新鄉縣, Henan.",35.1907899,113.80516,"Zhao 11.8(C), 11.5.",,
,Jufu,莒父,Lu,"Modern Ju Co 莒縣, Shandong",35.5799699,118.83687,Ding 14.15(C),,
,Juju,鞫居,Wei,Unk,40.7011879,-99.1014292,Cheng 2.2,,
,Jumeng,句鼆,Lu,Unk,40.7011879,-99.1014292,Wen 15.4,,
,Jun,麇 (1),Chu,"In Jingshan Co 京山縣 and Tianmen Co 天門縣, Hubei",30.6633899,113.16614,"Ding 5.5, 5.7.",,
,Jun .,麇 (2),,"Dom. Modern Yun Co 鄖縣, Hubei.",32.8348799,110.81197,"Wen 11.1, 16.4",,
,Junxiang,軍祥,Chu,"SW of Sui Co 隨縣, Hebei",32.369777,113.184864,Ding 5.5,,
,Juyu,且于,Ju,"In Ju Co 莒縣, Shandong",35.5799699,118.83687,"Xiang 23.7, 25.2",,
,Juzhi. .,且知,Lu,"Near Yuncheng Co 鄆城縣, Shandong.",35.4139399,115.83012,Zhao 27.5.,,
,Kan,闞,Lu,"In an area covered by modern Nanwang Lake 南旺湖, Shandong",35.584887,116.367319,"Huan 11.7(C); Zhao 25.6, 32.2(C).",,
,Kankan. .,坎欿,Zhou,"SE of Gong Co 鞏縣, Henan.",34.7479799,113.02206,Xi 24.2,,
,Ke,柯 (1),Jin,"NE of Neihuang Co 內黃縣, Henan",35.9471399,114.8993599,"Xiang 19.14(C), 19.12",,
,Ke,柯 (2),Qi,"E’cheng Town 阿城鎮, Shandong",36.16297,116.05615,"Zhuang 13.4(C), 13.2",,
,Ke Marsh,柯澤,Zheng,Unk,40.7011879,-99.1014292,Xi 22.9,,
,Keling,柯陵,Zheng,"S of Xuchang Co 許昌縣, N of Linying Co 臨潁縣, Henan",33.8095799,113.93443,"Cheng 17.3(C), 17.4.",,
,Kong Marsh . . .,空澤,Song,Unk,40.7011879,-99.1014292,Ai 26.2,,
,Kuai,蒯,Zhou,"NW of Luoyang City 洛陽市, Henan",34.6181299,112.45402,Zhao 23.3,,
,Kuaicheng,鄶城,Zheng,"NW of Xinzheng Co 新鄭縣, Henan",34.39603,113.73097,Xi 33.9,,
,Kuaiji     . .,會稽.,Cap of Yue 越,"near modern-day Kuaiji Mountain 會稽山, Shao?x ing Co 紹興縣, Zhejiang.",30.124975,120.401721,Ai 1.2. See map 4.,,
,Kuang,匡 (1),Song,"W of Sui Co 睢縣, Henan.",34.429714,115.081093,"Xi 15.3(C), 15.1.",,
,Kuang,匡 (2),Zheng,"Changyuan Co 長垣縣, Henan",35.0744299,114.7629,"Wen 1.5, 8.1; Ding 6.2",,
,Kui,睽,Chu,Unk,40.7011879,-99.1014292,Xi 27.4,,
,Kui,夔,Wei,"Near Zigui 秭歸, Hubei",30.8257799,110.97768,"Xi 26.6(C), 26.5",,
,Kuihuangshi,頯黃氏,Wu,"In Xuancheng Co 宣城縣, Anhui",30.9407799,118.75866,Ai 16.5,,
,Kuiqiu,葵丘 (1),Qi,"W of Linzi 臨淄, Shandong",36.85287,118.302,Zhuang 8.3,,
,Kuiqiu,葵丘 (2),Song,"E of Lankao Co 蘭考縣, Henan",34.9677799,115.028,"Xi 9.2(C), 9.4(C), 9.2, 15.1",,
,Kuiquan,逵泉,Lu,"SE of Qufu Co 曲阜縣, Shandong",35.53986,117.04719,Zhuang 32.4,,
,Kundu,昆都,Jin,"S of Linfen City 臨汾市, Shanxi",36.0882199,111.51962,Xi 16.3,,
,Kunwu Tower .,昆吾之觀 (昆吾之虛).,Wei,"In cap, S of Northern Palace.",53.989259,-122.7897924,Ai 17.5.,,
,Kushou . .,刳首,Jin,"Former Linjin Co 臨晉縣, Shanxi.",35.1447099,110.77408,Wen 7.4.,,
,Lai,郲 (1),"Qi P, ancient Lai 萊 dom","SE of Changyi Co 昌邑縣, Shandong.",36.9598,119.38951,Xiang 14.4.,,
,Lai  ..,郲 (2).,Zheng  Possibly same as Shilai 時郲,"N of Zhengzhou City 鄭州市, Henan.",34.7472499,113.62493,Yin 11.2.,,
,Lai .,萊 (1),"Dom, CN Jiang 姜, later Qi.",".  SE of Changyi Co 昌邑縣, Shandong",36.9598,119.38951,"Xuan 7.2(C); Xiang 2.2, 6.8(C), 6.7, 14.4, 28.9.",,
,Lai . .,萊 (2),Qi,"At Lai Mountain 萊山, SE of Huang Co 黃縣, Shandong.",37.6434499,120.47872,Ai 5.3.,,
,Lai . . .,萊 (mountain) (3),Lu,"In Laiwu Co 萊蕪縣, Shandong",36.2546,117.75535,Zhao 7.5,,
,Lai,賴 (1),Dom,"Modern Lishandian 厲山店, Sui Co 隨縣, Hubei",31.85546,113.29879,"Huan 13.1; Zhao 4.4(C), 4.4, 4.7.",,
,Lai . .,賴 (2),Qi,"NW of Zhangqiu Co 章丘縣, Shandong.",36.85607,117.49597,"Ai 6.6, 10.4",,
,Lan,濫,"Zhu, later Lu","SE of Teng Co 滕縣, Shandong",35.084021,117.164388,"Zhao 31.6(C), 31.5",,
,Lane of Shisun,士孫之里,"Qi, near cap",Unk,40.7011879,-99.1014292,Xiang 25.2,,
