ogc_fid,field_1,name,hanzi,polity,location,latitude,longitude,entries,field_9,field_10,GEOMETRY,years
535,,Pi,郫,Jin,"Near modern Shaoyuan Township 邵源鎮, W of Jiyuan Co 濟源縣, Henan",35.0745099,112.60383,Wen 6.5.,,,b'\x00\x01\xe6\x10\x00\x00\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@|\x01\x00\x00\x00\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@\xfe',619
536,,Pi . .,脾,Jin,"N of Jun Co 浚縣, Henan.",35.6761699,114.55078,Ding 14.6,,,b'\x00\x01\xe6\x10\x00\x00\x9e\xd2\xc1\xfa?\xa3\\@\x11\x85;\xbc\x8c\xd6A@\x9e\xd2\xc1\xfa?\xa3\\@\x11\x85;\xbc\x8c\xd6A@|\x01\x00\x00\x00\x9e\xd2\xc1\xfa?\xa3\\@\x11\x85;\xbc\x8c\xd6A@\xfe',494
537,,Pilu,被廬,Jin,Unk,35.77757000000012,117.8017199999998,Xi 27.4; Zhao 29.5,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"511,631"
538,,Ping,郱,"Ji, later taken by Qi","W of Anqiu Co 安丘縣, Shandong",36.36104,119.16773,Zhuang 1.8(C),,,b'\x00\x01\xe6\x10\x00\x00\xb8#\x9c\x16\xbc\xca]@ F\x08\x8f6.B@\xb8#\x9c\x16\xbc\xca]@ F\x08\x8f6.B@|\x01\x00\x00\x00\xb8#\x9c\x16\xbc\xca]@ F\x08\x8f6.B@\xfe',691
539,,Pingling,平陵,Jin,"NE of Wenshui Co 文水縣, Shanxi",37.4384299,112.0285,Zhao 28.3,,,b'\x00\x01\xe6\x10\x00\x00\xe7\xfb\xa9\xf1\xd2\x01\\@V\x0b\x91x\x1e\xb8B@\xe7\xfb\xa9\xf1\xd2\x01\\@V\x0b\x91x\x1e\xb8B@|\x01\x00\x00\x00\xe7\xfb\xa9\xf1\xd2\x01\\@V\x0b\x91x\x1e\xb8B@\xfe',512
540,,Pingqiu,平丘,Wei,"E of Fengqiu Co 封丘縣, Henan",35.0411899,114.41861,"Xiang 31.1; Zhao 13.4(C), 13.5(C), 13.3, 14.7, 15.6, 19.8",,,b'\x00\x01\xe6\x10\x00\x00\xd4\xf1\x98\x81\xca\x9a\\@w\xb6\xec\xb5E\x85A@\xd4\xf1\x98\x81\xca\x9a\\@w\xb6\xec\xb5E\x85A@|\x01\x00\x00\x00\xd4\xf1\x98\x81\xca\x9a\\@w\xb6\xec\xb5E\x85A@\xfe',"527,527,527,526,525,521,540"
541,,Pingshou,平壽,Wei,Unk,35.77757000000004,117.80172000000007,Zhao 20.4,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',520
542,,Pingyang,平陽 (1),"Lu, East Pingyang 東平陽","NW of Xintai Co 新泰縣, Shandong",35.77757,117.80172,"Xuan 8.9(C), 8.6.",,,"b'\x00\x01\xe6\x10\x00\x00%#gaOs]@\xe4,\xeci\x87\xe3A@%#gaOs]@\xe4,\xeci\x87\xe3A@|\x01\x00\x00\x00%#gaOs]@\xe4,\xeci\x87\xe3A@\xfe'","599,599"
543,,"Pingyang . ,",平陽 (2),Lu,"West Pingyang 西平陽. Modern area governed by Zou Co 鄒縣, Shandong.",35.2910599,117.13367,Ai 27.1.,,,b'\x00\x01\xe6\x10\x00\x004\x9d\x9d\x0c\x8eH]@\xa9\xd6gsA\xa5A@4\x9d\x9d\x0c\x8eH]@\xa9\xd6gsA\xa5A@|\x01\x00\x00\x004\x9d\x9d\x0c\x8eH]@\xa9\xd6gsA\xa5A@\xfe',467
544,,Pingyang . .,平陽 (3),Jin,"Modern Linfen City 臨汾市, Shanxi.",36.0882199,111.51962,Zhao 28.3,,,b'\x00\x01\xe6\x10\x00\x00>\x96>tA\xe1[@\x9e\xad(\xcaJ\x0bB@>\x96>tA\xe1[@\x9e\xad(\xcaJ\x0bB@|\x01\x00\x00\x00>\x96>tA\xe1[@\x9e\xad(\xcaJ\x0bB@\xfe',512
545,,Pingyang  . . .,平陽 (4),Wei,"SE of Hua Co 滑縣, Henan",35.5753399,114.5193,Ai 16.4.,,,b'\x00\x01\xe6\x10\x00\x00\x054\x116<\xa1\\@\xbeJ\xe3\xbc\xa4\xc9A@\x054\x116<\xa1\\@\xbeJ\xe3\xbc\xa4\xc9A@|\x01\x00\x00\x00\x054\x116<\xa1\\@\xbeJ\xe3\xbc\xa4\xc9A@\xfe',478
546,,Pingyin,平陰 (1),Qi,"NE of Pingyin Co 平陰縣, Shandong",36.27467,116.48559,"Xiang 18.3, 21.8, 23.4, 25.2; Zhao 25.6",,,b'\x00\x01\xe6\x10\x00\x00\xf0P\x14\xe8\x13\x1f]@\x9e\x98\xf5b(#B@\xf0P\x14\xe8\x13\x1f]@\x9e\x98\xf5b(#B@|\x01\x00\x00\x00\xf0P\x14\xe8\x13\x1f]@\x9e\x98\xf5b(#B@\xfe',"515,553,550,548,546"
547,,Pingyin,平陰 (2),Zhou,"N of Mengjin Co 孟津縣, Henan",34.8257301,112.4453496,See also Yin 陰. Zhao 23.1.,,,b'\x00\x01\xe6\x10\x00\x00Y\xd2\x9b\x9b\x80\x1c\\@Ri\x1f\x86\xb1iA@Y\xd2\x9b\x9b\x80\x1c\\@Ri\x1f\x86\xb1iA@|\x01\x00\x00\x00Y\xd2\x9b\x9b\x80\x1c\\@Ri\x1f\x86\xb1iA@\xfe',"517,"
548,,Pingzhi . .,平畤,Zhou,"Near Luoyang City 洛陽市, Henan.",34.6181299,112.45402,Xiang 30.6; Zhao 22.5,,,b'\x00\x01\xe6\x10\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@|\x01\x00\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xfe',"518,541"
549,,Pingzhong,平中,Jin,"Near Tang Co 唐縣, Hebei",38.7478999,114.98295,Ding 3.2,,,b'\x00\x01\xe6\x10\x00\x00\x9b\xe6\x1d\xa7\xe8\xbe\\@A\x97\x15/\xbb_C@\x9b\xe6\x1d\xa7\xe8\xbe\\@A\x97\x15/\xbb_C@|\x01\x00\x00\x00\x9b\xe6\x1d\xa7\xe8\xbe\\@A\x97\x15/\xbb_C@\xfe',505
550,,Pingzhou,平州,"Qi, border of Qi and Lu","W of Laiwu Co 萊蕪縣, Shandong",36.2546,117.75535,"Xuan 1.6(C), 1.5.",,,"b""\x00\x01\xe6\x10\x00\x00'\xc2\x86\xa7Wp]@\xe3\xc7\x98\xbb\x96 B@'\xc2\x86\xa7Wp]@\xe3\xc7\x98\xbb\x96 B@|\x01\x00\x00\x00'\xc2\x86\xa7Wp]@\xe3\xc7\x98\xbb\x96 B@\xfe""","606,606"
551,,Pingzhuang  . .,平莊 (name of a mound or hill).,Wei,Unk,35.77757000000004,117.80172000000007,Ai 26.1,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',468
552,,Pixie,脾洩,Chu,"Near Jiangling Co 江陵縣, Hubei",30.04166,112.42398,Ding 5.7,,,"b'\x00\x01\xe6\x10\x00\x00\x1e\x8a\x02}""\x1b\\@&\x8d\xd1:\xaa\n>@\x1e\x8a\x02}""\x1b\\@&\x8d\xd1:\xaa\n>@|\x01\x00\x00\x00\x1e\x8a\x02}""\x1b\\@&\x8d\xd1:\xaa\n>@\xfe'",503
553,,Pu,蒲 (1),Wei,"E of Changyuan Co 長垣縣, Henan",35.0744299,114.7629,"Huan 3.2(C), 3.3; Cheng 9.2(C), 9.2; Zhao 11.10; Ai 25.1",,,"b'\x00\x01\xe6\x10\x00\x00\x94\x87\x85Z\xd3\xb0\\@\x1a,A\xeb\x86\x89A@\x94\x87\x85Z\xd3\xb0\\@\x1a,A\xeb\x86\x89A@|\x01\x00\x00\x00\x94\x87\x85Z\xd3\xb0\\@\x1a,A\xeb\x86\x89A@\xfe'","469,529,580,580,707,707"
554,,Pu,蒲 (2),Jin,"NW of Xi Co 隰縣, Shanxi",36.6934399,110.94049,"Zhuang 28.2; Xi 4.6, 5.2, 23.6, 24.1",,,b'\x00\x01\xe6\x10\x00\x00\xc3\r\xf8\xfc0\xbc[@\xea\x1e~\xa3\xc2XB@\xc3\r\xf8\xfc0\xbc[@\xea\x1e~\xa3\xc2XB@|\x01\x00\x00\x00\xc3\r\xf8\xfc0\xbc[@\xea\x1e~\xa3\xc2XB@\xfe',"654,653,635,634,664"
555,,Pu,濮 (1),Chen,"SE of Bo Co 亳縣, Anhui",31.8615699,117.28565,"Yin 4.6(C), 4.5",,,b'\x00\x01\xe6\x10\x00\x00\x8e\x06\xf0\x16HR]@\xce\xb7O\xd8\x8f\xdc?@\x8e\x06\xf0\x16HR]@\xce\xb7O\xd8\x8f\xdc?@|\x01\x00\x00\x00\x8e\x06\xf0\x16HR]@\xce\xb7O\xd8\x8f\xdc?@\xfe',"718,718"
556,,Pu,濮 (2),Wei,"In Hua Co 滑縣 and Yanjin Co 延津縣, Henan",35.1419399,114.20515,Ai 25.1,,,b'\x00\x01\xe6\x10\x00\x00\x901w-!\x8d\\@\xae?.\x16+\x92A@\x901w-!\x8d\\@\xae?.\x16+\x92A@|\x01\x00\x00\x00\x901w-!\x8d\\@\xae?.\x16+\x92A@\xfe',469
557,,Pu,濮 (river),Chu,"Flows within Heze Co 菏澤縣, Shandong",35.15129,115.50733,Zhao 9.2; Ai 27.3,,,b'\x00\x01\xe6\x10\x00\x00\xe6\x91?\x18x\xe0\\@\x1e\x1b\x81x]\x93A@\xe6\x91?\x18x\xe0\\@\x1e\x1b\x81x]\x93A@|\x01\x00\x00\x00\xe6\x91?\x18x\xe0\\@\x1e\x1b\x81x]\x93A@\xfe',"467,531"
558,,Puche,圃車,Zhou,"In Gong Co 鞏縣, Henan",34.7479799,113.02206,Zhao 22.5,,,"b'\x00\x01\xe6\x10\x00\x00/\xa3XniA\\@]H,\xce\xbd_A@/\xa3XniA\\@]H,\xce\xbd_A@|\x01\x00\x00\x00/\xa3XniA\\@]H,\xce\xbd_A@\xfe'",518
559,,Pugu .,蒲故,,"SE of Boxing Co 博興縣, Shandong.",37.1529899,118.11096,Zhao 9.3.,,,"b'\x00\x01\xe6\x10\x00\x00\x82\xca\xf8\xf7\x19\x87]@%\x8fL,\x95\x93B@\x82\xca\xf8\xf7\x19\x87]@%\x8fL,\x95\x93B@|\x01\x00\x00\x00\x82\xca\xf8\xf7\x19\x87]@%\x8fL,\x95\x93B@\xfe'",531
560,,Puhou residence,蒲侯氏,Ju,"Near Ju Co 莒縣, Shandong",35.5799699,118.83687,Xiang 23.7,,,b'\x00\x01\xe6\x10\x00\x00:@0G\x8f\xb5]@\x0b\x95$t<\xcaA@:@0G\x8f\xb5]@\x0b\x95$t<\xcaA@|\x01\x00\x00\x00:@0G\x8f\xb5]@\x0b\x95$t<\xcaA@\xfe',548
561,,Pusao,蒲騷,Dom,"NW of Yingshan Co 應山縣, Hubei",30.7351799,115.68143,Huan 11.2,,,b'\x00\x01\xe6\x10\x00\x00\xda \x93\x8c\x9c\xeb\\@2-\xfb\xbf4\xbc>@\xda \x93\x8c\x9c\xeb\\@2-\xfb\xbf4\xbc>@|\x01\x00\x00\x00\xda \x93\x8c\x9c\xeb\\@2-\xfb\xbf4\xbc>@\xfe',699
562,,Pusui .,蒲隧,,"SW of Suining Co 睢寧縣, Jiangsu.",34.06379,117.6434,Zhao 16.2.,,,b'\x00\x01\xe6\x10\x00\x00\xc5\x8f1w-i]@\xea\xe7ME*\x08A@\xc5\x8f1w-i]@\xea\xe7ME*\x08A@|\x01\x00\x00\x00\xc5\x8f1w-i]@\xea\xe7ME*\x08A@\xfe',524
563,,Putian,圃田,"Zheng, P Yuanpu 原圃",Unk,40.7011879,-99.1014292,Ding 4.1,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',504
564,,Qǐ .,杞,"Dom, CN Si 姒.","SE of Changle Co 長樂縣, Shandong.",36.7070199,118.82984,Yin 4.1(C) et passim. See map 2.,,,b'\x00\x01\xe6\x10\x00\x00i:;\x19\x1c\xb5]@\x83\x0f\xca\xa0\x7fZB@i:;\x19\x1c\xb5]@\x83\x0f\xca\xa0\x7fZB@|\x01\x00\x00\x00i:;\x19\x1c\xb5]@\x83\x0f\xca\xa0\x7fZB@\xfe',718
565,,Qi,祁,Jin,"SE of Qixian 祁縣, Shanxi",37.369018,112.381197,Zhao 28.3,,,b'\x00\x01\xe6\x10\x00\x00U\x15\x1a\x88e\x18\\@R\xd1X\xfb;\xafB@U\x15\x1a\x88e\x18\\@R\xd1X\xfb;\xafB@|\x01\x00\x00\x00U\x15\x1a\x88e\x18\\@R\xd1X\xfb;\xafB@\xfe',512
566,,Qī . .,戚,Wei,"N of Puyang Co 濮陽縣, Henan.",35.5764999,115.26089,"Wen 1.9(C), 1.5, 1.6, 8.1; Cheng 7.6, 14.5, 15.3(C), 15.1, 17.4; Xiang 1.2, 2.6(C), 2.9(C), 2.7, 5.7(C), 5.8, 14.7(C), 14.4, 14.9, 26.2(C), 26.2, 26.3, 26.7, 29.13; Zhao 7.11, 11.6, 11.10; Ai 2.4(C), 2.2, 2.3, 3.1(C), 3.1, 15.5, 16.1(C). See map 3.",,,b'\x00\x01\xe6\x10\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@|\x01\x00\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\xfe',"492,492,492,491,491,479,478,533,529,529,570,569,569,569,566,566,557,557,557,545,545,545,545,542,582,575,574,574,572,624,624,624,617"
567,,Qi,齊,"Dom, CN Jiang 姜","Cap Linzi 臨淄 near modern-day Linzi City 臨淄市, Shandong",36.85287,118.302,Yin 3.6 et passim. See map 1.,,,b'\x00\x01\xe6\x10\x00\x00\x17\xd9\xce\xf7S\x93]@\xa9\xde\x1a\xd8*mB@\x17\xd9\xce\xf7S\x93]@\xa9\xde\x1a\xd8*mB@|\x01\x00\x00\x00\x17\xd9\xce\xf7S\x93]@\xa9\xde\x1a\xd8*mB@\xfe',719
568,,"Qi . , .",漆,Zhu later Lu.,Unk,40.7011879,-99.1014292,"Xiang 21.2(C), 21.2; Ding 15.14(C), 15.9",,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"493,493,550,550"
569,,Qian,牽,Qi,"N of Jun Co 浚縣, Henan",35.6761699,114.55078,Ding 14.6(C),,,b'\x00\x01\xe6\x10\x00\x00\x9e\xd2\xc1\xfa?\xa3\\@\x11\x85;\xbc\x8c\xd6A@\x9e\xd2\xc1\xfa?\xa3\\@\x11\x85;\xbc\x8c\xd6A@|\x01\x00\x00\x00\x9e\xd2\xc1\xfa?\xa3\\@\x11\x85;\xbc\x8c\xd6A@\xfe',494
570,,Qian,潛 (1),Dom,"S of Huoshan Co 霍山縣, Anhui",31.40596,116.35411,"Zhao 27.2, 31.4",,,b'\x00\x01\xe6\x10\x00\x00\xf1K\xfd\xbc\xa9\x16]@\xf2{\x9b\xfe\xecg?@\xf1K\xfd\xbc\xa9\x16]@\xf2{\x9b\xfe\xecg?@|\x01\x00\x00\x00\xf1K\xfd\xbc\xa9\x16]@\xf2{\x9b\xfe\xecg?@\xfe',"513,509"
571,,Qian,潛 (2),Lu,"Modern Jining City 濟寧市, Shandong",35.4145899,116.58724,"Yin 2.1(C), 2.1",,,b'\x00\x01\xe6\x10\x00\x00\xcb\xb9\x14W\x95%]@?\xe0&H\x11\xb5A@\xcb\xb9\x14W\x95%]@?\xe0&H\x11\xb5A@|\x01\x00\x00\x00\xcb\xb9\x14W\x95%]@?\xe0&H\x11\xb5A@\xfe',"720,720"
572,,Qian,鍼,Wei,"Near Puyang Co 濮陽縣, Henan",35.5764999,115.26089,Cheng 6.4,,,b'\x00\x01\xe6\x10\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@|\x01\x00\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\xfe',583
573,,Qiancheng,前城,Zhou,"SE of Luoyang City 洛陽市, Henan",34.6181299,112.45402,Zhao 22.5,,,b'\x00\x01\xe6\x10\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@|\x01\x00\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xfe',518
574,,Qiangren,牆人,Zhou,"NE of Xin’an Co 新安縣, Henan",34.7281799,112.13242,Zhao 23.3,,,b'\x00\x01\xe6\x10\x00\x00\x86U\xbc\x91y\x08\\@b\r\xbc\xff4]A@\x86U\xbc\x91y\x08\\@b\r\xbc\xff4]A@|\x01\x00\x00\x00\x86U\xbc\x91y\x08\\@b\r\xbc\xff4]A@\xfe',517
575,,Qianmu,千畝,Jin,"N of Anze Co 安澤縣, Shanxi",36.1478099,112.25013,Huan 2.8,,,b'\x00\x01\xe6\x10\x00\x00\xe7oB!\x02\x10\\@4COo\xeb\x12B@\xe7oB!\x02\x10\\@4COo\xeb\x12B@|\x01\x00\x00\x00\xe7oB!\x02\x10\\@4COo\xeb\x12B@\xfe',708
576,,Qin,秦 (1),"Dom, CN Ying 嬴","Capital at Yong 雍, S of Fengxiang Co 鳳翔縣, Shaanxi",34.5211399,107.40076,Huan 4.3 et passim. See map 1.,,,b'\x00\x01\xe6\x10\x00\x00\xe1bE\r\xa6\xd9Z@\x03\x92U\xb6\xb4BA@\xe1bE\r\xa6\xd9Z@\x03\x92U\xb6\xb4BA@|\x01\x00\x00\x00\xe1bE\r\xa6\xd9Z@\x03\x92U\xb6\xb4BA@\xfe',706
577,,Qin . .,秦 (2),Lu,"S of former Fan Co 范縣, Shandong.",36.6682599,117.02076,Zhuang 31.5(C),,,b'\x00\x01\xe6\x10\x00\x00(D\xc0!TA]@7\xddW\x8a\x89UB@(D\xc0!TA]@7\xddW\x8a\x89UB@|\x01\x00\x00\x00(D\xc0!TA]@7\xddW\x8a\x89UB@\xfe',661
578,,"Qing. ,",清 (1),Jin,same place as Qingyuan 清原.,35.60154935,110.9850023,"Xuan 13.3, 13.4.",,,b'\x00\x01\xe6\x10\x00\x00\x07?\x16G\n\xbf[@\x0c\x97\xb0\x91\xff\xccA@\x07?\x16G\n\xbf[@\x0c\x97\xb0\x91\xff\xccA@|\x01\x00\x00\x00\x07?\x16G\n\xbf[@\x0c\x97\xb0\x91\xff\xccA@\xfe',"594,594"
579,,Qing,清 (2),Wei,"S of Dong’e Co 東阿縣, Shandong",36.3350299,116.24773,"Yin 4.3(C), 4.2",,,b'\x00\x01\xe6\x10\x00\x00=\x0f\xee\xce\xda\x0f]@Q\xd7\x7fB\xe2*B@=\x0f\xee\xce\xda\x0f]@Q\xd7\x7fB\xe2*B@|\x01\x00\x00\x00=\x0f\xee\xce\xda\x0f]@Q\xd7\x7fB\xe2*B@\xfe',"718,718"
580,,Qingfa,清發 (river),Chu,"Modern Yun River 溳水, Anlu Co 安陸縣, Hubei",31.2555399,113.68913,Ding 4.3.,,,"b'\x00\x01\xe6\x10\x00\x00R,\xb7\xb4\x1al\\@\xb7R\x19\x10kA?@R,\xb7\xb4\x1al\\@\xb7R\x19\x10kA?@|\x01\x00\x00\x00R,\xb7\xb4\x1al\\@\xb7R\x19\x10kA?@\xfe'",504
581,,Qingqiu . .,清丘,Wei,"SE of Puyang Co 濮陽縣, Henan.",35.5764999,115.26089,"Xuan 12.6(C), 12.7, 13.2, 13.5; Zhao 11.4",,,b'\x00\x01\xe6\x10\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@|\x01\x00\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\xfe',"529,595,595,594,594"
582,,Qingqiu,頃丘,Split between Zheng and Song,Unk,40.7011879,-99.1014292,Ai 12.6,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',482
583,,Qingyuan,清原,Jin,"SE of Jishan Co 稷山縣, Shanxi",35.6040099,110.98311,Xi 31.4; Cheng 18.1,,,b'\x00\x01\xe6\x10\x00\x00\xb7\x974F\xeb\xbe[@\xe9zG2P\xcdA@\xb7\x974F\xeb\xbe[@\xe9zG2P\xcdA@|\x01\x00\x00\x00\xb7\x974F\xeb\xbe[@\xe9zG2P\xcdA@\xfe',"571,627"
584,,Qiong,窮,Chu,"SW of Huoqiu Co 霍丘縣, Anhui",32.33721,116.27533,Zhao 27.2,,,"b'\x00\x01\xe6\x10\x00\x00\xe4f\xb8\x01\x9f\x11]@,\xf1\x80\xb2)+@@\xe4f\xb8\x01\x9f\x11]@,\xf1\x80\xb2)+@@|\x01\x00\x00\x00\xe4f\xb8\x01\x9f\x11]@,\xf1\x80\xb2)+@@\xfe'",513
585,,Qionggu,窮谷,Zhou,"E of Luoyang City 洛陽市, Henan",34.6181299,112.45402,Ding 7.3,,,b'\x00\x01\xe6\x10\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@|\x01\x00\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xfe',501
586,,Qiongsang .,窮桑,,"Qufu Co 曲阜縣, Shandong.",35.53986,117.04719,Zhao 29.4.,,,b'\x00\x01\xe6\x10\x00\x00\xb0\xac4)\x05C]@\x935\xea!\x1a\xc5A@\xb0\xac4)\x05C]@\x935\xea!\x1a\xc5A@|\x01\x00\x00\x00\xb0\xac4)\x05C]@\x935\xea!\x1a\xc5A@\xfe',511
587,,Qiqiu,郪丘,Qi,Unk,35.77757000000006,117.80172000000002,Wen 16.2,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',609
588,,Qiu,湫,Chu,"N of Zhongxiang Co 鍾祥縣, Hubei",31.1679699,112.58817,Zhuang 19.1,,,b'\x00\x01\xe6\x10\x00\x00A\x9f\xc8\x93\xa4%\\@_6K\x13\x00+?@A\x9f\xc8\x93\xa4%\\@_6K\x13\x00+?@|\x01\x00\x00\x00A\x9f\xc8\x93\xa4%\\@_6K\x13\x00+?@\xfe',673
589,,Qiu Palace,丘宮,Wei,"In cap SW of Puyang Co 濮陽縣, Henan.",35.5764999,115.26089,Xiang 14.4,,,b'\x00\x01\xe6\x10\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@|\x01\x00\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\xfe',557
590,,Qiuhuang,丘皇,Chu,"In Xinyang Co 信陽縣, Henan",32.1471399,114.09279,Zhao 25.11,,,b'\x00\x01\xe6\x10\x00\x00U\xd9wE\xf0\x85\\@\xe67\xf1z\xd5\x12@@U\xd9wE\xf0\x85\\@\xe67\xf1z\xd5\x12@@|\x01\x00\x00\x00U\xd9wE\xf0\x85\\@\xe67\xf1z\xd5\x12@@\xfe',515
591,,Qiuyou,丘蕕,Lu,Unk,35.77757000000008,117.80171999999992,Zhao 4.8,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',536
592,,Qiuyu,丘輿 (1),Lu,"In Fei Co 費縣, Shandong",35.278287,117.979969,Ai 14.4,,,b'\x00\x01\xe6\x10\x00\x00\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@|\x01\x00\x00\x00\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@\xfe',480
593,,Qiuyu,丘輿 (2),Qi,"In Yidu Co 益都縣, Shandong",36.69808,118.47971,Cheng 2.3,,,b'\x00\x01\xe6\x10\x00\x00\x1bd\x92\x91\xb3\x9e]@\xef\xfex\xafZYB@\x1bd\x92\x91\xb3\x9e]@\xef\xfex\xafZYB@|\x01\x00\x00\x00\x1bd\x92\x91\xb3\x9e]@\xef\xfex\xafZYB@\xfe',587
594,,Qiuyu,丘輿 (3),"Zheng, eastern area",Unk,40.7011879,-99.1014292,Cheng 3.1,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',586
595,,Qiyang,岐陽 / Qi 岐,Qin,"In Qishan Co 岐山縣, Shaanxi",34.4434599,107.62101,"Zhao 4.3, 9.3",,,b'\x00\x01\xe6\x10\x00\x00K\x1f\xba\xa0\xbe\xe7Z@1\xcbCK\xc38A@K\x1f\xba\xa0\xbe\xe7Z@1\xcbCK\xc38A@|\x01\x00\x00\x00K\x1f\xba\xa0\xbe\xe7Z@1\xcbCK\xc38A@\xfe',"536,531"
