ogc_fid,field_1,name,hanzi,polity,location,latitude,longitude,entries,field_9,field_10,GEOMETRY,years
125,,Diqiu,帝丘 (Emperor’s Hillock),Relocated cap of Wei 衛 dom,"SW of Puyang Co 濮陽縣, Henan",35.5764999,115.26089,"Xi 31.6(C), 31.5; Zhao 17.5.",,,b'\x00\x01\xe6\x10\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@|\x01\x00\x00\x00\x9fv\xf8k\xb2\xd0\\@\xdaR\xac\xbf\xca\xc9A@\xfe',"523,627,627"
126,,Diquan . .,翟泉 / 狄泉,Zhou,"In Luoyang City 洛陽市, Henan.",34.6181299,112.45402,"Xi 29.3(C), 29.2",,,b'\x00\x01\xe6\x10\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@|\x01\x00\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xfe',"629,629"
127,,Dong,董,Jin,"E of Ronghe Town 榮河鎮, Wanrong Co 萬榮縣, Shanxi",35.355511,110.552426,Wen 6.1,,,b'\x00\x01\xe6\x10\x00\x00r\xdd\x94\xf2Z\xa3[@#/kb\x81\xadA@r\xdd\x94\xf2Z\xa3[@#/kb\x81\xadA@|\x01\x00\x00\x00r\xdd\x94\xf2Z\xa3[@#/kb\x81\xadA@\xfe',619
128,,Dong Marsh,董澤,Jin,"NE of Wenxi Co 聞喜縣, Shanxi",35.406317,111.341279,Xuan 12.2,,,b'\x00\x01\xe6\x10\x00\x00\xf1\xf3\xdf\x83\xd7\xd5[@\x88g\t2\x02\xb4A@\xf1\xf3\xdf\x83\xd7\xd5[@\x88g\t2\x02\xb4A@|\x01\x00\x00\x00\xf1\xf3\xdf\x83\xd7\xd5[@\x88g\t2\x02\xb4A@\xfe',595
129,,Dongshan . .,東山,Jin,"Unk, perhaps just “eastern mountains.”",40.7011879,-99.1014292,Min 2.7.,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',658
130,,Dongyang,東陽 (1),Lu,"NW of Fei Co 費縣, Shandong",35.278287,117.979969,Ai 8.2,,,b'\x00\x01\xe6\x10\x00\x00\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@|\x01\x00\x00\x00\x01\x86\xe5\xcf\xb7~]@s\xf3\x8d\xe8\x9e\xa3A@\xfe',486
131,,Dongyang,東陽 (2),Qi,"E of Linqu Co 臨朐縣, Shandong",36.5123099,118.543,"Xiang 2.4, 6.7",,,b'\x00\x01\xe6\x10\x00\x00\x98n\x12\x83\xc0\xa2]@a\xf5\xec^\x93AB@\x98n\x12\x83\xc0\xa2]@a\xf5\xec^\x93AB@|\x01\x00\x00\x00\x98n\x12\x83\xc0\xa2]@a\xf5\xec^\x93AB@\xfe',"569,565"
132,,Dongyang,東陽 (3),Jin,"Around Handan 邯鄲縣 and Xingtai Co 邢台縣, Hebei",37.0862699,114.54489,Xiang 23.4; Zhao 22.4.,,,b'\x00\x01\xe6\x10\x00\x00\xb7zNz\xdf\xa2\\@\x89\x90_\xe4\n\x8bB@\xb7zNz\xdf\xa2\\@\x89\x90_\xe4\n\x8bB@|\x01\x00\x00\x00\xb7zNz\xdf\xa2\\@\x89\x90_\xe4\n\x8bB@\xfe',"518,548"
133,,Dongyu,東圉,Zhou,"SW of Yanshi Co 偃師縣, Henan",34.7264684,112.76553,Zhao 22.5,,,b'\x00\x01\xe6\x10\x00\x00\xd7\x86\x8aq\xfe0\\@\xea\xc9\xa1\xea\xfc\\A@\xd7\x86\x8aq\xfe0\\@\xea\xc9\xa1\xea\xfc\\A@|\x01\x00\x00\x00\xd7\x86\x8aq\xfe0\\@\xea\xc9\xa1\xea\xfc\\A@\xfe',518
134,,Dongzi,東訾,Zhou,"In Gong Co 鞏縣, Henan",34.7479799,113.02206,"Zhao 24.8, 25.7",,,"b'\x00\x01\xe6\x10\x00\x00/\xa3XniA\\@]H,\xce\xbd_A@/\xa3XniA\\@]H,\xce\xbd_A@|\x01\x00\x00\x00/\xa3XniA\\@]H,\xce\xbd_A@\xfe'","516,515"
135,,Doucheng,斗城,Zheng,"NE of Tongxu Co 通許縣, Henan",34.4804399,114.46741,Xiang 30.10,,,b'\x00\x01\xe6\x10\x00\x00\xb2\xf4\xa1\x0b\xea\x9d\\@\xc5\x18\xfd\r\x7f=A@\xb2\xf4\xa1\x0b\xea\x9d\\@\xc5\x18\xfd\r\x7f=A@|\x01\x00\x00\x00\xb2\xf4\xa1\x0b\xea\x9d\\@\xc5\x18\xfd\r\x7f=A@\xfe',541
136,,Duandao,斷道,Jin,"W of Jiyuan Co 濟源縣, Henan",35.0745099,112.60383,"Xuan 17.6(C), 17.1",,,b'\x00\x01\xe6\x10\x00\x00\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@|\x01\x00\x00\x00\xff\x95\x95&\xa5&\\@7\xddW\x8a\x89\x89A@\xfe',"590,590"
137,,Dun,頓,"Dom, later Chu","Nandun Old Town 南頓故城, W of Xiangcheng Co 項城縣, Henan",33.46819258,114.8706165,Xi 23.3,,,b'\x00\x01\xe6\x10\x00\x00\xe9\xb6D.\xb8\xb7\\@9\xaa\x05\xbc\xed\xbb@@\xe9\xb6D.\xb8\xb7\\@9\xaa\x05\xbc\xed\xbb@@|\x01\x00\x00\x00\xe9\xb6D.\xb8\xb7\\@9\xaa\x05\xbc\xed\xbb@@\xfe',635
138,,Duoyu,多魚,Que,"In Yucheng Co 虞城縣, Henan",34.406742,115.864501,Xi 2.4,,,b'\x00\x01\xe6\x10\x00\x00\xff\x96\x00\xfcS\xf7\\@o\xf41\x1f\x104A@\xff\x96\x00\xfcS\xf7\\@o\xf41\x1f\x104A@|\x01\x00\x00\x00\xff\x96\x00\xfcS\xf7\\@o\xf41\x1f\x104A@\xfe',656
139,,Duyang(1).,督揚,Qi.,"Modern Zhuke 祝柯, NE of Changqing Co 長清縣, Shandong.",36.5535799,116.75199,"Xiang 19.1, 20.1.",,,b'\x00\x01\xe6\x10\x00\x00\xd2:\xaa\x9a 0]@\x8a\x1c\xc7\xb4\xdbFB@\xd2:\xaa\x9a 0]@\x8a\x1c\xc7\xb4\xdbFB@|\x01\x00\x00\x00\xd2:\xaa\x9a 0]@\x8a\x1c\xc7\xb4\xdbFB@\xfe',"552,551"
140,,Duyang  (2). . .,督揚,Zheng,Unk,35.777570000000075,117.80171999999996,Cheng 16.8.,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',573
141,,E,鄂,Jin,"S of Xiangning Co 鄉寧縣, Shanxi",35.9708125,110.8472604,Yin 6.2,,,b'\x00\x01\xe6\x10\x00\x00\x89L\xaf\x839\xb6[@%\x06\x81\x95C\xfcA@\x89L\xaf\x839\xb6[@%\x06\x81\x95C\xfcA@|\x01\x00\x00\x00\x89L\xaf\x839\xb6[@%\x06\x81\x95C\xfcA@\xfe',716
142,,Ecao,惡曹,Wei,"SE of Yanjin Co 延津縣, Henan",35.1419399,114.20515,"Huan 11.1(C), 11.1",,,b'\x00\x01\xe6\x10\x00\x00\x901w-!\x8d\\@\xae?.\x16+\x92A@\x901w-!\x8d\\@\xae?.\x16+\x92A@|\x01\x00\x00\x00\x901w-!\x8d\\@\xae?.\x16+\x92A@\xfe',"699,699"
